segmentation,segment_id,manual_id,loc,axon_len,dendrite_len
185,648518346349539803,14,[300440 201468   4800],932.6215,1467.423375
185,648518346349539804,364,[434560 215172  62760],76.6618203125,1923.390125
185,648518346349539806,104,[219568 201420  15360],1254.1395,1278.904
185,648518346349539809,64,[414436 200752  11360],813.9331875,1052.11575
185,648518346349539819,218,[388764 240356  40200],0.0,3230.20775
185,648518346349539820,205,[263396 258516  33320],32.91190234375,2944.1425
185,648518346349539821,121,[318152 287844  21760],0.0,1416.33925
185,648518346349539825,310,[350932 184384  54280],1323.7115,2273.2465
185,648518346349539828,409,[365744 188272  71840],33.68331640625,1953.07725
185,648518346349539832,272,[467268 189136  51040],0.0,988.737875
185,648518346349539834,238,[202108 228328  40840],68.277453125,1433.068625
185,648518346349539836,280,[220600 249176  48840],27.121611328125,1659.4105
185,648518346349539840,334,[260008 200172  56920],654.420875,2527.1175
185,648518346349539844,13,[432084 241192   3600],119.951125,1176.11475
185,648518346349539845,348,[414600 190480  61840],1404.882375,969.778625
185,648518346349539851,153,[420328 267288  24840],33.54094140625,1955.514
185,648518346349539852,151,[387712 262456  26560],34.37234375,2765.78875
185,648518346349539853,178,[387984 205564  32760],1036.953125,2636.7315
185,648518346349539856,325,[358176 249908  56800],49.1118515625,3501.41575
185,648518346349539862,42,[375100 258592    880],0.0,1686.9135
185,648518346349539863,226,[359352 269876  38440],30.68778515625,3029.72175
185,648518346349539864,309,[357296 193240  51600],1280.58025,2583.4005
185,648518346349539865,106,[350328 287304  15760],0.0,2147.95675
185,648518346349539884,86,[327504 197392  12160],801.34575,2168.18575
185,648518346349539885,271,[461176 211020  47920],63.05696875,1391.587125
185,648518346349539886,169,[313640 177672  25680],863.3301875,2034.43225
185,648518346349539887,324,[350780 234744  55960],77.9066875,3236.018
185,648518346349539890,45,[300932 183536   3960],726.43075,864.0280625
185,648518346349539891,223,[446608 205512  38080],169.7930625,1943.62375
